Date,USD/DXY_Open,USD/DXY_High,USD/DXY_Low,USD/DXY_Close,USD/DXY_Volume,US500_Open,US500_High,US500_Low,US500_Close,US500_Volume,US30_Open,US30_High,US30_Low,US30_Close,US30_Volume,XCU/USD_Close,XCU/USD_High,XCU/USD_Low,XCU/USD_Open,XCU/USD_Volume,XPB/USD_Open,XPB/USD_High,XPB/USD_Low,XPB/USD_Close,XPB/USD_Volume,EUR/USD_Open,EUR/USD_High,EUR/USD_Low,EUR/USD_Close,EUR/USD_Volume,XAU/USD_Open,XAU/USD_High,XAU/USD_Low,XAU/USD_Close,XAU/USD_Volume,XAG/USD_Open,XAG/USD_High,XAG/USD_Low,XAG/USD_Close,XAG/USD_Volume,USD/CAD_Open,USD/CAD_High,USD/CAD_Low,USD/CAD_Close,USD/CAD_Volume,USD/JPY_Open,USD/JPY_High,USD/JPY_Low,USD/JPY_Close,USD/JPY_Volume,XAU/GBP_Open,XAU/GBP_High,XAU/GBP_Low,XAU/GBP_Close,XAU/GBP_Volume,XAU/AUD_Open,XAU/AUD_High,XAU/AUD_Low,XAU/AUD_Close,XAU/AUD_Volume,GBP/USD_Open,GBP/USD_High,GBP/USD_Low,GBP/USD_Close,GBP/USD_Volume,XNI/USD_Open,XNI/USD_High,XNI/USD_Low,XNI/USD_Close,XNI/USD_Volume,XAG/AUD_Open,XAG/AUD_High,XAG/AUD_Low,XAG/AUD_Close,XAG/AUD_Volume,XAU/EUR_Open,XAU/EUR_High,XAU/EUR_Low,XAU/EUR_Close,XAU/EUR_Volume,XAG/EUR_Open,XAG/EUR_High,XAG/EUR_Low,XAG/EUR_Close,XAG/EUR_Volume,BTC/USD_Open,BTC/USD_High,BTC/USD_Low,BTC/USD_Close,BTC/USD_Volume,BTC/XAU_Open,BTC/XAU_High,BTC/XAU_Low,BTC/XAU_Close,BTC/XAU_Volume,BTC/XAG_Open,BTC/XAG_High,BTC/XAG_Low,BTC/XAG_Close,BTC/XAG_Volume,EUR/AUD_Open,EUR/AUD_High,EUR/AUD_Low,EUR/AUD_Close,EUR/AUD_Volume
2017-01-13,101.21330130975188,101.21330130975188,101.21330130975188,101.21330130975188,,,,,,,,,,,,5909.483977279663,5909.483977279663,5822.401491484642,5823.503721590042,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,114.669,115.441,114.139,114.452,0.0,982.308,985.58,976.343,981.707,0.0,1596.15,1600.131,1588.293,1595.343,0.0,1.21641,1.22324,1.21214,1.21784,0.0,,,,,,22.367,22.402,22.202,22.362,0.0,1125.711,1126.041,1118.625,1123.805,0.0,15.762,15.765,15.585,15.741,0.0,,,,,,,,,,,,,,,,1.41743,1.42516,1.41399,1.4182,0.0
2017-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.157,114.461,114.091,114.223,0.0,994.237,999.077,992.927,998.687,0.0,1597.232,1603.935,1596.566,1603.749,0.0,1.19924,1.20494,1.19867,1.20371,0.0,,,,,,22.374,22.47,22.354,22.436,0.0,1125.288,1131.497,1125.193,1131.298,0.0,15.76,15.846,15.75,15.815,0.0,,,,,,,,,,,,,,,,1.41519,1.41996,1.41513,1.4172,0.0
2017-01-16,101.61098676136592,101.61098676136592,101.61098676136592,101.61098676136592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.222,114.45,113.616,114.156,0.0,998.713,1004.887,993.687,998.265,0.0,1603.737,1613.596,1600.471,1609.15,0.0,1.2037,1.20848,1.19864,1.20392,0.0,,,,,,22.438,22.558,22.387,22.438,0.0,1131.315,1135.692,1128.362,1133.717,0.0,15.817,15.869,15.772,15.797,0.0,,,,,,,,,,,,,,,,1.41719,1.42103,1.41597,1.41887,0.0
2017-01-17,100.43116828426,100.43116828426,100.43116828426,100.43116828426,,,,,,,,,,,,5768.388011341095,5896.256164770126,5736.421235795021,5896.256164770126,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,114.156,114.278,112.568,112.891,0.0,998.274,1002.397,977.741,979.945,0.0,1609.145,1613.733,1605.165,1608.34,0.0,1.20397,1.24147,1.20389,1.23875,0.0,,,,,,22.437,22.732,22.406,22.659,0.0,1133.729,1140.251,1131.717,1134.997,0.0,15.798,16.018,15.768,15.979,0.0,,,,,,,,,,,,,,,,1.41886,1.42122,1.41287,1.41658,0.0
2017-01-18,101.35815736807356,101.35815736807356,101.35815736807356,101.35815736807356,,,,,,,,,,,,5749.649048304557,5771.695227279663,5735.319005689621,5771.695227279663,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,112.893,114.837,112.638,114.708,0.0,979.916,987.396,979.341,980.184,0.0,1608.33,1610.98,1599.818,1600.787,0.0,1.2388,1.24011,1.22538,1.22598,0.0,,,,,,22.658,22.876,22.575,22.649,0.0,1134.968,1137.272,1129.44,1130.809,0.0,15.978,16.134,15.922,15.991,0.0,,,,,,,,,,,,,,,,1.41659,1.41884,1.41128,1.41514,0.0
2017-01-19,101.16357275233014,101.16357275233014,101.16357275233014,101.16357275233014,,,,,,,,,,,,5735.319005689621,5745.239602260589,5720.988963074684,5745.239602260589,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,114.709,115.616,114.395,114.936,0.0,980.159,981.759,971.012,974.542,0.0,1600.718,1605.381,1586.462,1589.589,0.0,1.22599,1.23421,1.22531,1.23374,0.0,,,,,,22.651,22.753,22.117,22.397,0.0,1130.787,1132.492,1125.409,1128.08,0.0,15.99,16.041,15.739,15.884,0.0,,,,,,,,,,,,,,,,1.41512,1.41767,1.40271,1.40863,0.0
2017-01-20,100.83687242298652,100.83687242298652,100.83687242298652,100.83687242298652,,,,,,,,,,,,5769.490767068863,5776.104147701263,5716.579517030716,5754.057968726158,786.0,,,,,,,,,,,,,,,,,,,,,,,,,,114.937,115.378,114.206,114.593,0.0,974.53,980.859,972.64,976.968,0.0,1589.715,1605.868,1589.715,1600.289,0.0,1.23379,1.23801,1.22603,1.23741,0.0,,,,,,22.398,22.629,22.308,22.547,0.0,1128.085,1134.049,1124.835,1129.742,0.0,15.885,15.971,15.758,15.907,0.0,,,,,,,,,,,,,,,,1.40862,1.41679,1.4075,1.41513,0.0
2017-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.221,114.426,113.753,113.8,0.0,976.323,980.441,975.914,980.362,0.0,1599.203,1604.984,1598.371,1603.971,0.0,1.23779,1.2387,1.237,1.23846,0.0,,,,,,22.556,22.634,22.541,22.594,0.0,1129.283,1133.616,1128.891,1133.52,0.0,15.92,15.974,15.909,15.957,0.0,,,,,,,,,,,,,,,,1.4153,1.41698,1.41459,1.41459,0.0
2017-01-23,100.05345713740856,100.05345713740856,100.05345713740856,100.05345713740856,,,,,,,,,,,,5819.094275546074,5819.094275546074,5810.275909080505,5816.889815335274,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,113.8,114.074,112.52,112.78,0.0,980.376,981.422,970.013,971.685,0.0,1603.986,1609.719,1597.95,1604.398,0.0,1.23841,1.25439,1.23809,1.25151,0.0,,,,,,22.597,22.708,22.511,22.628,0.0,1133.556,1133.712,1127.45,1130.436,0.0,15.958,15.994,15.842,15.933,0.0,,,,,,,,,,,,,,,,1.4146,1.42225,1.4145,1.41886,0.0
2017-01-24,100.2951859116284,100.2951859116284,100.2951859116284,100.2951859116284,,,,,,,,,,,,5953.576335229874,5956.883025546073,5906.176761341095,5906.176761341095,1134.0,,,,,,,,,,,,,,,,,,,,,,,,,,112.783,113.985,112.548,113.865,0.0,971.691,975.894,963.35,963.863,0.0,1604.418,1605.664,1590.963,1591.674,0.0,1.25142,1.25435,1.24184,1.25316,0.0,,,,,,22.632,22.694,22.418,22.451,0.0,1130.443,1131.032,1124.451,1126.032,0.0,15.935,15.985,15.832,15.872,0.0,,,,,,,,,,,,,,,,1.41884,1.42186,1.41308,1.41317,0.0
