Date,EURUSD_Open,EURUSD_High,EURUSD_Low,EURUSD_Close,EURUSD_Volume,GBPUSD_Open,GBPUSD_High,GBPUSD_Low,GBPUSD_Close,GBPUSD_Volume,AUDUSD_Open,AUDUSD_High,AUDUSD_Low,AUDUSD_Close,AUDUSD_Volume,USDCAD_Open,USDCAD_High,USDCAD_Low,USDCAD_Close,USDCAD_Volume,USDCHF_Open,USDCHF_High,USDCHF_Low,USDCHF_Close,USDCHF_Volume,USDJPY_Open,USDJPY_High,USDJPY_Low,USDJPY_Close,USDJPY_Volume,NZDUSD_Open,NZDUSD_High,NZDUSD_Low,NZDUSD_Close,NZDUSD_Volume,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,XAUUSD_Close,XAUUSD_Volume,XAGUSD_Open,XAGUSD_High,XAGUSD_Low,XAGUSD_Close,XAGUSD_Volume,USOIL_Open,USOIL_High,USOIL_Low,USOIL_Close,USOIL_Volume,DXY_Open,DXY_High,DXY_Low,DXY_Close,DXY_Volume,CADJPY_Open,CADJPY_High,CADJPY_Low,CADJPY_Close,CADJPY_Volume
2020-01-31,1.12181,1.12242,1.09922,1.10939,0,1.32565,1.32656,1.29541,1.32051,0,0.70139,0.70191,0.66824,0.66877,0,1.29769,1.32525,1.29565,1.32342,0,0.96825,0.97662,0.96128,0.96334,0,108.698,110.284,107.649,108.347,0,0.67329,0.67367,0.64535,0.64627,0,1518.513,1611.414,1517.221,1588.874,0,17.888,18.846,17.358,18.024,0,61.208,65.35,51.044,51.626,0,,,,,,83.76,84.567,81.75,81.853,0
2020-02-29,1.1091,1.10912,1.07775,1.10227,0,1.3175,1.31826,1.27258,1.28179,0,0.66846,0.67737,0.64339,0.65092,0,1.32375,1.34638,1.32017,1.33984,0,0.96357,0.98481,0.96099,0.96501,0,108.427,112.221,107.509,107.916,0,0.64683,0.65022,0.61914,0.62454,0,1588.593,1689.262,1547.528,1586.092,0,18.042,18.937,16.386,16.676,0,51.151,54.552,43.952,45.333,0,,,,,,81.886,84.737,80.143,80.75,0
2020-03-31,1.10426,1.14962,1.06347,1.10257,0,1.2803,1.32,1.1414,1.24062,0,0.64746,0.66845,0.55086,0.61375,0,1.34366,1.46676,1.33146,1.4078,0,0.96297,0.99004,0.91811,0.96157,0,107.565,111.71,101.182,107.509,0,0.6203,0.64475,0.54692,0.59493,0,1582.182,1703.248,1451.33,1579.052,0,16.485,17.59,11.282,13.957,0,44.258,48.649,20.594,22.405,0,,,,,,80.038,81.438,73.82,76.358,0
2020-04-30,1.10259,1.10359,1.07269,1.09447,0,1.24063,1.2647,1.21628,1.25807,0,0.61378,0.65694,0.59798,0.6494,0,1.40776,1.42977,1.38498,1.39517,0,0.96155,0.98014,0.95936,0.96646,0,107.508,109.377,106.356,107.281,0,0.59492,0.61755,0.58431,0.61187,0,1579.116,1746.722,1572.307,1687.831,0,13.958,15.834,13.811,14.955,0,22.408,32.18,8.416,21.142,0,,,,,,76.359,78.175,74.971,76.885,0
2020-05-31,1.09446,1.11449,1.07664,1.11155,0,1.25806,1.25813,1.20735,1.23448,0,0.64942,0.66828,0.63724,0.6658,0,1.39517,1.4172,1.37141,1.37781,0,0.96648,0.97838,0.95883,0.96065,0,107.28,108.082,105.971,107.707,0,0.61189,0.62394,0.59206,0.61968,0,1687.645,1764.809,1670.54,1739.705,0,14.958,18.09,14.704,18.049,0,21.133,35.998,19.587,35.367,0,,,,,,76.888,78.519,74.769,78.165,0
2020-06-30,1.11155,1.1422,1.11002,1.12334,0,1.2345,1.28127,1.22512,1.23877,0,0.66579,0.70637,0.66578,0.68991,0,1.37782,1.37816,1.3315,1.35743,0,0.96065,0.96501,0.93759,0.94713,0,107.708,109.846,106.071,107.989,0,0.61969,0.65842,0.6196,0.64494,0,1739.633,1785.804,1670.668,1782.905,0,18.047,18.372,16.946,18.19,0,35.375,41.618,34.427,39.596,0,,,,,,78.164,81.904,78.021,79.546,0
2020-07-31,1.12333,1.19085,1.11847,1.17746,0,1.23876,1.31697,1.23592,1.30833,0,0.68992,0.72269,0.68768,0.71422,0,1.35741,1.36455,1.33307,1.34106,0,0.94713,0.94935,0.9056,0.91296,0,107.99,108.16,104.185,105.819,0,0.64493,0.6715,0.64397,0.66283,0,1782.904,1982.596,1757.563,1975.032,0,18.189,26.181,17.757,24.328,0,39.595,42.496,38.704,40.567,0,,,,,,79.545,80.139,77.612,78.92,0
2020-08-31,1.17701,1.19657,1.16957,1.19365,0,1.30759,1.33953,1.2981,1.33631,0,0.71298,0.74029,0.7076,0.73769,0,1.34007,1.34505,1.30199,1.30384,0,0.91357,0.92408,0.89984,0.90403,0,105.761,107.046,105.1,105.995,0,0.6629,0.67628,0.64883,0.67319,0,1983.223,2074.005,1863.957,1967.795,0,24.759,29.837,23.422,28.116,0,40.263,43.834,39.726,43.02,0,,,,,,78.891,81.576,78.683,81.287,0
2020-09-30,1.19366,1.20107,1.16121,1.17231,0,1.33632,1.34819,1.26751,1.29157,0,0.7377,0.74131,0.70056,0.71645,0,1.30381,1.342,1.29938,1.3308,0,0.90403,0.92959,0.89987,0.92086,0,105.995,106.546,103.999,105.449,0,0.67321,0.67972,0.6511,0.66208,0,1967.834,1992.353,1848.339,1887.69,0,28.115,28.883,21.649,23.341,0,43.016,43.531,36.405,40.136,0,,,,,,81.289,81.455,78.365,79.228,0
2020-10-31,1.17233,1.18805,1.16398,1.1643,0,1.29158,1.31763,1.28194,1.29502,0,0.71648,0.72427,0.7002,0.70273,0,1.33077,1.33893,1.30805,1.332,0,0.92085,0.92181,0.90303,0.91679,0,105.449,106.104,104.022,104.595,0,0.66211,0.67233,0.65463,0.66128,0,1887.677,1933.234,1859.871,1878.914,0,23.341,25.541,22.573,23.636,0,40.134,41.891,35.06,35.89,0,,,,,,79.23,80.599,77.912,78.56,0
2020-11-30,1.16467,1.20029,1.16024,1.19367,0,1.29227,1.33973,1.28536,1.33337,0,0.70225,0.74064,0.69907,0.73582,0,1.3316,1.33696,1.29229,1.29898,0,0.91632,0.92072,0.89822,0.90808,0,104.536,105.673,103.161,104.293,0,0.66057,0.70504,0.65888,0.70171,0,1879.363,1965.475,1764.31,1778.763,0,23.609,25.985,21.882,22.644,0,34.505,46.279,33.809,45.259,0,,,,,,78.485,81.418,78.196,80.269,0
2020-12-31,1.19371,1.23096,1.19352,1.22166,0,1.33351,1.36858,1.31342,1.36666,0,0.73584,0.77419,0.73414,0.76958,0,1.2991,1.29915,1.26877,1.27316,0,0.90821,0.90836,0.87934,0.88466,0,104.303,104.748,102.871,103.254,0,0.70184,0.72404,0.70022,0.71834,0,1778.785,1906.723,1776.796,1894.443,0,22.645,27.385,22.599,26.336,0,45.272,49.404,43.983,48.432,0,,,,,,80.281,82.114,80.14,81.095,0
